#chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type
1	NC_000001.10	UBE2J2	118424	CCDS15.1	Public	-	1190582	1203371	[1190582-1190866, 1191424-1191504, 1192371-1192509, 1192587-1192689, 1198725-1198765, 1200162-1200209, 1203241-1203371]	Identical
1	NC_000001.10	UBE2J2	118424	CCDS16.1	Public	-	1190582	1198740	[1190582-1190866, 1191424-1191504, 1192371-1192509, 1192587-1192689, 1198725-1198740]	Identical
1	NC_000001.8	UBE2J2	118424	CCDS17.1	Withdrawn	-	1232589	1243294	[1232589-1232612, 1237571-1237692, 1238648-1238688, 1243164-1243294]	Identical
1	NC_000001.10	SCNN1D	6339	CCDS18.1	Withdrawn	+	1219404	1226989	[1219404-1219469, 1221305-1221657, 1222147-1222354, 1222488-1222678, 1222887-1222975, 1223052-1223215, 1223318-1223416, 1225650-1225767, 1225856-1225934, 1226016-1226073, 1226274-1226332, 1226444-1226519, 1226633-1226989]	Identical
1	NC_000001.10	ACAP3	116983	CCDS19.2	Public	-	1228943	1243194	[1228943-1229087, 1229202-1229312, 1229469-1229578, 1229781-1230007, 1230097-1230195, 1230826-1230933, 1231115-1231317, 1231394-1231488, 1231590-1231659, 1231804-1232012, 1233201-1233312, 1233392-1233492, 1233749-1233800, 1233946-1234058, 1234724-1234735, 1235210-1235284, 1235352-1235447, 1235537-1235581, 1235888-1236071, 1237367-1237425, 1238301-1238354, 1238541-1238660, 1239465-1239522, 1243148-1243194]	Identical
1	NC_000001.10	PUSL1	126789	CCDS20.1	Public	+	1244023	1246758	[1244023-1244099, 1244294-1244351, 1244465-1244652, 1244833-1244982, 1245060-1245230, 1246013-1246067, 1246288-1246450, 1246709-1246758]	Identical
1	NC_000001.10	CPSF3L	54973	CCDS21.1	Public	-	1247238	1259987	[1247238-1247303, 1247397-1247526, 1247605-1247747, 1247819-1247880, 1247972-1248079, 1248166-1248328, 1248414-1248503, 1248888-1248971, 1249111-1249300, 1249680-1249744, 1250203-1250341, 1250783-1250817, 1250899-1250997, 1254675-1254903, 1255835-1255908, 1256375-1256472, 1259960-1259987]	Identical
1	NC_000001.10	DVL1	1855	CCDS22.1	Public	-	1271521	1284444	[1271521-1271894, 1273356-1273562, 1273648-1273815, 1273901-1274032, 1274741-1274818, 1274961-1275028, 1275115-1275191, 1275417-1275556, 1275626-1275695, 1275789-1275882, 1277046-1277184, 1277432-1277535, 1277742-1277863, 1278068-1278137, 1284275-1284444]	Identical
1	NC_000001.9	DVL1	1855	CCDS23.1	Withdrawn	-	1261384	1264926	[1261384-1261757, 1263219-1263425, 1263511-1263678, 1263764-1263895, 1264604-1264681, 1264824-1264926]	Identical
1	NC_000001.10	MXRA8	54587	CCDS24.1	Public	-	1288983	1293883	[1288983-1289008, 1289227-1289307, 1289409-1289485, 1289572-1289611, 1289733-1289888, 1290061-1290531, 1290623-1290724, 1290829-1291131, 1292060-1292083, 1293835-1293883]	Identical


12	NC_000001.10	DVL1	1855	CCDS22.1	Public	-	1271521	1284444	[1271521-1271894, 1273356-1273562, 1273648-1273815, 1273901-1274032, 1274741-1274818, 1274961-1275028, 1275115-1275191, 1275417-1275556, 1275626-1275695, 1275789-1275882, 1277046-1277184, 1277432-1277535, 1277742-1277863, 1278068-1278137, 1284275-1284444]	Identical
